project,area_bucket,district,tenure,propertyType,avg_buy,most_recent_buy,avg_buy_2020,avg_buy_2021,avg_buy_2022,avg_buy_2023,avg_buy_2024,avg_buy_2025,avg_rent,most_recent_rent,avg_rent_2020,avg_rent_2021,avg_rent_2022,avg_rent_2023,avg_rent_2024,avg_rent_2025,ROI
1 NASSIM,>300,,,,,,,,,,,,7454.0,7871.0,,7037.0,7871.0,,,,
10 EVELYN,100-110,11.0,Freehold,Apartment,2299810.0,2264000.0,,,,,2299810.0,,,,,,,,,,
10 EVELYN,100-150,11.0,Freehold,Apartment,3288000.0,3350000.0,,3226000.0,3350000.0,,,,,,,,,,,,
10 EVELYN,40-50,11.0,Freehold,Apartment,1401026.0,1478000.0,,1283000.0,1332022.4,1477457.5,1479685.0,,3977.777777777778,4200.0,,,,4428.571428571428,3643.75,3816.6666666666665,29.325396825396826
10 EVELYN,50-60,11.0,Freehold,Apartment,1667000.0,1667000.0,,,,,,1667000.0,,,,,,,,,
10 EVELYN,60-70,11.0,Freehold,Apartment,2079648.2222222222,2120000.0,,,,2063500.0,2078305.6666666667,2120000.0,4900.0,4900.0,,,,,4900.0,,36.054421768707485
10 EVELYN,70-80,11.0,Freehold,Apartment,2176522.1333333333,2288000.0,,2012812.0,2032800.0,2272877.5,2288000.0,,5700.0,5600.0,,,,6125.0,5440.0,5500.0,34.047619047619044
10 SHELFORD,30-40,11.0,Freehold,Apartment,823931.25,838000.0,,800000.0,815000.0,844112.5,,,2619.4754098360654,3200.0,2125.0,2140.625,2644.4444444444443,3088.8888888888887,2815.6666666666665,3025.0,21.822916666666668
10 SHELFORD,40-50,11.0,Freehold,Apartment,848833.3333333334,900000.0,,835000.0,819000.0,892500.0,,,2728.985294117647,2900.0,2300.0,2233.3333333333335,2876.6666666666665,3101.75,2938.4615384615386,2966.6666666666665,25.862068965517242
10 SHELFORD,50-60,,,,,,,,,,,,2490.909090909091,3100.0,,2000.0,2300.0,2966.6666666666665,2950.0,,
10 SHELFORD,60-70,,,,,,,,,,,,2475.0,3000.0,,1900.0,2000.0,,3000.0,3000.0,
10 SHELFORD,70-80,11.0,Freehold,Apartment,1053333.3333333333,1080000.0,,920000.0,1160000.0,,1080000.0,,3061.25,3000.0,,2470.0,3045.0,3350.0,3450.0,3000.0,30.0
